gameId,user,targetNum,startTime,duration,finishTime,numGuesses,guess1,guess2,guess3,guess4,guess5,guess6,guess7,guess8,guess9,guess10,guess11,guess12,guess13,guess14,guess15,guess16,guess17,guess18,guess19,guess20
28ce87e4-307f-4add-976b-0af28b841213,2244,9,2019-09-21 15:42:04.412,23,2019-09-21 15:42:27.666,5,17,15,10,5,9,,,,,,,,,,,,,,,
2580f0db-3ba7-4473-8a20-f5ab15e0389e,2244,4,2019-09-21 15:42:43.766,47,2019-09-21 15:43:30.737,10,50,35,15,2,10,8,6,5,3,4,,,,,,,,,,
046c76b6-b50a-4c4c-9b54-dd482534006c,2244,28,2019-09-21 15:43:43.682,49,2019-09-21 15:44:33.113,7,50,7,10,15,25,30,28,,,,,,,,,,,,,
a8706759-f82e-4bef-ab64-249825c56192,2244,10,2019-09-21 15:44:45.840,20,2019-09-21 15:45:05.423,4,35,17,15,10,,,,,,,,,,,,,,,,
eed20e79-8565-4184-b724-63eff424f171,2244,55,2019-09-21 15:45:22.990,78,2019-09-21 15:46:40.993,15,35,50,100,90,85,75,70,65,23,63,62,61,60,59,55,,,,,
9e2677f6-de3e-416d-9c84-0e459b51cc1f,1858,42,2019-09-21 15:48:01.684,135,2019-09-21 15:50:16.878,16,25,50,30,19,100,99,60,58,55,51,41,82,2,45,43,42,,,,
827b5856-bb9f-4f21-8651-230b1e261a45,2803,23,2019-09-21 15:49:46.433,26,2019-09-21 15:50:12.857,4,85,44,16,23,,,,,,,,,,,,,,,,
b12bd075-18a4-456e-b53a-80296fcb3603,2803,4,2019-09-21 15:50:26.210,32,2019-09-21 15:50:58.409,5,10,5,1,3,4,,,,,,,,,,,,,,,
a272223c-b7cd-4df8-91ff-67fa5e68f65c,2803,82,2019-09-21 15:51:23.650,39,2019-09-21 15:52:02.463,7,48,88,77,90,80,83,82,,,,,,,,,,,,,
85b9c4dc-254d-4f5a-8eb9-c68cc8c062b5,2803,34,2019-09-21 15:52:15.663,45,2019-09-21 15:53:00.229,8,90,1,10,50,45,33,36,34,,,,,,,,,,,,
6df01b68-c64f-48a7-adc3-1bb153e115c7,2803,25,2019-09-21 15:53:14.077,81,2019-09-21 15:54:35.296,9,10,18,16,90,30,20,33,22,25,,,,,,,,,,,
336db244-587d-44e7-93ce-54fbf4306607,1968,52,2019-09-21 16:01:22.224,54,2019-09-21 16:02:16.598,9,32,16,56,40,45,50,51,53,52,,,,,,,,,,,
1203f340-6c58-45b5-aceb-0d1cd5beea8f,1968,10,2019-09-21 16:02:31.526,35,2019-09-21 16:03:06.392,5,19,16,13,9,10,,,,,,,,,,,,,,,
e8575628-9f87-4eb5-8031-a90ab85b5564,255,52,2019-09-21 16:09:01.384,64,2019-09-21 16:10:05.352,7,70,40,55,48,53,51,52,,,,,,,,,,,,,
4aafc5e7-ca75-47aa-8e21-9491a7df702b,255,59,2019-09-21 16:10:18.264,60,2019-09-21 16:11:18.536,7,68,49,52,52,56,60,59,,,,,,,,,,,,,
e9823a45-dfca-4b8d-8813-97a69eb3d611,27,11,2019-09-21 16:13:26.884,20,2019-09-21 16:13:46.843,3,45,23,11,,,,,,,,,,,,,,,,,
89a5f367-f995-4e88-96fd-907037afe93f,27,75,2019-09-21 16:13:59.279,27,2019-09-21 16:14:26.742,4,72,82,80,75,,,,,,,,,,,,,,,,
52436511-300c-4b3e-8e8e-d3973bbd8cdc,27,1,2019-09-21 16:14:42.304,40,2019-09-21 16:15:22.753,6,50,25,8,3,2,1,,,,,,,,,,,,,,
0966246d-9eeb-4633-9f70-3bd8969c2adc,27,32,2019-09-21 16:15:36.154,45,2019-09-21 16:16:20.948,8,90,70,30,40,33,31,31,32,,,,,,,,,,,,
67f336f7-2d07-479f-af0f-82d2b742601a,1335,23,2019-09-21 17:02:50.401,37,2019-09-21 17:03:26.928,7,53,37,12,1,21,25,23,,,,,,,,,,,,,
50273336-64e3-4670-9900-de7dc3c584fa,1009,22,2019-09-21 17:15:17.383,30,2019-09-21 17:15:47.427,6,50,20,25,3,23,22,,,,,,,,,,,,,,
c2ce0610-764f-49c2-87a6-cfd6dac8e39a,1009,25,2019-09-21 17:16:00.134,41,2019-09-21 17:16:41.150,6,80,5,75,40,30,25,,,,,,,,,,,,,,
35a057a9-a70b-4ba8-baba-2be52ec4c024,1009,8,2019-09-21 17:16:54.156,56,2019-09-21 17:17:50.505,8,60,40,30,10,5,7,9,8,,,,,,,,,,,,
59d367f3-1e4b-4bee-abda-fe33c4737ca3,1009,97,2019-09-21 17:18:02.798,58,2019-09-21 17:19:01.215,9,80,85,90,95,86,96,98,87,97,,,,,,,,,,,
dd45d636-a97d-4870-8f24-d0eadb8da2d6,234,78,2019-09-21 17:23:24.480,34,2019-09-21 17:23:58.872,5,50,75,85,82,78,,,,,,,,,,,,,,,
08eb3410-0e99-4c01-8155-5bab549f30fa,234,11,2019-09-21 17:24:14.301,39,2019-09-21 17:24:53.134,7,50,25,10,17,14,12,11,,,,,,,,,,,,,
1595b7aa-ce4a-41d2-b9ed-bcb98a3a1df7,234,36,2019-09-21 17:25:08.796,41,2019-09-21 17:25:49.306,7,7,27,57,37,33,35,36,,,,,,,,,,,,,
86f99903-43e8-47ca-897c-c036d1f19299,2535,81,2019-09-21 17:35:55.056,108,2019-09-21 17:37:42.622,8,100,66,70,4,84,3,80,81,,,,,,,,,,,,
131f4d82-d7d8-4a10-8975-872196d7ec39,326,10,2019-09-21 17:42:20.018,60,2019-09-21 17:43:20.270,7,50,32,24,12,6,8,10,,,,,,,,,,,,,
683bb4fd-2720-4201-b969-5ee515f5b672,438,34,2019-09-21 18:11:33.350,34,2019-09-21 18:12:06.868,6,83,42,21,32,40,34,,,,,,,,,,,,,,
7a1484ce-690f-44af-9e82-eb9093c0eed9,266,15,2019-09-21 18:12:36.353,66,2019-09-21 18:13:42.853,6,75,30,10,20,17,15,,,,,,,,,,,,,,
539f8909-3c58-4b9a-adc5-53f192f6ace5,266,87,2019-09-21 18:13:56.443,56,2019-09-21 18:14:52.423,9,43,73,8,80,100,19,90,85,87,,,,,,,,,,,
67010839-eddb-46c0-a71d-238d55743ae0,266,89,2019-09-21 18:15:05.674,114,2019-09-21 18:17:00.140,12,69,73,80,87,95,27,92,9,19,19,90,89,,,,,,,,
1a175822-37e8-475d-98ac-bb6d623f9f0d,2277,2,2019-09-21 18:25:47.797,55,2019-09-21 18:26:42.446,11,100,20,10,1,15,9,7,6,4,3,2,,,,,,,,,
153dbfb6-a6a3-4bbe-b4e8-c964f91b4c39,549,55,2019-09-21 18:28:23.823,27,2019-09-21 18:28:50.882,5,50,75,25,60,55,,,,,,,,,,,,,,,
7971adc4-3d16-4620-bcec-caf46edd9233,555,7,2019-09-21 18:29:38.000,53,2019-09-21 18:30:31.270,10,50,40,35,30,20,10,5,6,8,7,,,,,,,,,,
2aba95ff-4c7f-4bfe-896e-853c2b6b0cac,555,98,2019-09-21 18:30:44.579,52,2019-09-21 18:31:36.793,10,50,67,7,70,80,90,99,95,96,98,,,,,,,,,,
126fa0fc-48fd-4f75-8ace-14ad0f857407,555,57,2019-09-21 18:31:50.210,24,2019-09-21 18:32:14.234,3,50,60,57,,,,,,,,,,,,,,,,,
